"","meta.wthk.r","meta.wthk.se","meta.wthk.zval","meta.wthk.pval","meta.wthk.ci.lb","meta.wthk.ci.ub","meta.wthk.tau2","meta.wthk.tause","meta.wthk.i2","meta.wthk.h2","meta.wthk.npat","fdr.p","fdr.p.mean"
"L_medialorbitofrontal_thickavg",0.048605683812659,0.0208810831405033,2.32773766981359,0.0199260375848536,0.00767951289908607,0.0895318547262319,0.000811080484956072,0.00583548261202994,8.3073355283072,1.09059978326698,2642,0.246943214608209,1
"L_middletemporal_thickavg",0.00149708021582827,0.0199344211666628,0.0751002601636565,0.940134940830378,-0.0375736673234836,0.0405678277551402,0,0.00590103437416283,0,1,2506,0.979353110222236,1
"L_parahippocampal_thickavg",0.03048194105618,0.0192526708153582,1.58325779049128,0.113362719315197,-0.0072526003481275,0.0682164824604874,0,0.00568361007239821,0,1,2671,0.560485928124948,1
"L_paracentral_thickavg",-0.0166299229063538,0.0192388238901725,-0.864393946391317,0.387371517226731,-0.0543373248360007,0.0210774790232931,0,0.00567181381551177,0,1,2682,0.860825593837181,1
"L_parsopercularis_thickavg",0.000171816919127956,0.0193667340587879,0.0088717549694442,0.992921456539152,-0.0377862843342616,0.0381299181725175,5.61303195374245e-05,0.00569755041122786,0.628039067930613,1.00632008327138,2658,0.993656317992908,1
"L_parsorbitalis_thickavg",0.0186757271718081,0.0193674997460571,0.964281782195976,0.334904671936025,-0.0192838748010525,0.0566353291446686,0,0.00561328851728822,0,1,2664,0.797392076038156,1
"L_parstriangularis_thickavg",0.0187920952922416,0.0254274070638399,0.73904882417074,0.459877350517715,-0.0310447067731239,0.0686288973576071,0.00417619378472597,0.00662788342440711,31.8652860987237,1.46768063259053,2649,0.924594155671374,1
"L_pericalcarine_thickavg",0.0191396252919598,0.0298617847769123,0.640940433900577,0.521561384286765,-0.0393883973848747,0.0776676479687943,0.00849520824160532,0.00785007936553452,48.269171983335,1.93308330513838,2592,0.970759139010964,1
"L_postcentral_thickavg",0.00855960286605699,0.0246669826096761,0.347006482369649,0.728586448794648,-0.0397867946561839,0.0569060003882979,0.00338029814813903,0.00643074032668565,27.1505930185098,1.37269477053407,2618,0.972509139761302,1
"L_posteriorcingulate_thickavg",0.0112268070642753,0.0268729966678104,0.417772800073438,0.676113239562606,-0.041443298561298,0.0638969126898486,0.00567139014506805,0.00707068339367923,39.2452672002757,1.64596230436312,2685,0.972509139761302,1
"L_precentral_thickavg",0.00211469500383049,0.0212918163169463,0.0993196152151373,0.920884504727777,-0.0396164981428266,0.0438458881504875,0.00101865287649277,0.00594971132799727,10.1568235750014,1.11305058413068,2638,0.979353110222236,1
